externalinvoicenumber,status,dateofpurchase,dateofdelivery,itemnumber,quantity,delivered
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-001-035-450","200","200"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-Q","20","20"
"PO220317-22/006BIA","OPEN","18/03/2022 09:38:57","18/03/2022 09:38:57","BIA-S925-CHAIN-005-060-200","100","0"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-005-060-200","152","152"
"PO210729-21/012GS-Part 3","DELIVERED","29/07/2021 09:00:00","18/11/2021 14:24:34","S925-WHI-PEN-LET-001-K","19","19"
"PO220511-22/004GS","OPEN","12/05/2022 13:09:16","12/05/2022 13:09:16","S925-WHI-PEN-LET-001-K","50","0"
"PO210716-21/011GS-Part 2","DELIVERED","16/07/2021 11:00:00","04/10/2021 14:57:00","S925-WHI-PEN-LET-001-K","86","86"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","S925-WHI-PEN-LET-001-K","51","51"
"PO211210-21/012CHR","PARTIAL","10/12/2021 15:00:00","10/12/2021 15:00:00","S925-WHI-NEC-CHA-025-047-450","50","43"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","S925-WHI-NEC-CHA-025-047-450","72","72"
"PO220119-22/001CHR","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","S925-WHI-NEC-CHA-025-047-450","148","148"
"PO210622-21/006CHR-Part 2","DELIVERED","22/06/2021 13:00:00","02/08/2021 14:47:33","S925-WHI-NEC-CHA-025-047-450","51","51"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-027-079-500","62","62"
"PO210921-21/009CHR","DELIVERED","21/09/2021 14:00:00","21/12/2021 15:40:58","S925-WHI-NEC-CHA-027-079-500","37","37"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-EAR-STUD-SWA-006-202","144","144"
"PO220412-22/007PAV","OPEN","12/04/2022 10:16:30","12/04/2022 10:16:30","S925-WHI-EAR-STUD-SWA-006-202","144","0"
"PO210429-21/005PAV- BLUE SWA","DELIVERED","29/04/2021 11:00:00","14/07/2021 08:47:19","S925-WHI-EAR-STUD-SWA-006-202","288","288"
"PO210915-21/001VIE","DELIVERED","15/09/2021 09:00:00","23/12/2021 12:40:37","G9K-YEL-NEC-CHA-007-009-450","100","100"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-T","20","20"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-025-N","45","45"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-EAR-CRAW-007","50","50"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-024-055-450","101","101"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-025","200","200"
"PO210928-21/001ADD","DELIVERED","28/09/2021 11:00:00","23/12/2021 14:16:42","G9K-YEL-PEN-GEM-CZ-002","50","50"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-015-120-360","50","0"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-015-120-360","50","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-015-120-360","52","52"
"PO210609-21/005CHR-Part 2","DELIVERED","06/06/2021 13:00:00","02/08/2021 14:41:28","S925-WHI-NEC-CHA-025-055-550","115","115"
"PO220119-22/001CHR","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","S925-WHI-NEC-CHA-025-055-550","150","143"
"PO211210-21/012CHR","PARTIAL","10/12/2021 15:00:00","10/12/2021 15:00:00","S925-WHI-NEC-CHA-025-055-550","52","52"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-015-120-500","151","151"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-015-120-500","350","0"
"PO220303-22/005BIA","PARTIAL","04/03/2022 11:20:00","04/03/2022 11:20:00","BIA-S925-CHAIN-015-120-500","100","0"
"PO220412-22/008BIA","OPEN","13/04/2022 13:21:41","13/04/2022 13:21:41","BIA-S925-CHAIN-015-120-500","100","0"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-015-120-500","100","0"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-015-120-500","100","0"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-027-079-410","97","97"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-028-045-410","102","102"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-ROSE-CHAIN-031-230-450","101","101"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-ROSE-CHAIN-031-230-450","50","0"
"PO210928-21/001ADD","DELIVERED","28/09/2021 11:00:00","23/12/2021 14:16:42","G9K-YEL-EAR-HOOP-002-020","100","100"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","S925-BLA-NEC-CHA-006-010-500","105","105"
"PO-29/01/2021","DELIVERED","04/02/2021 15:27:38","04/02/2021 15:45:40","S925-BLA-NEC-CHA-006-010-500","209","209"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-023","200","200"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-HOOP-HIN-020","100","100"
"PO210510-21/004CHR","DELIVERED","10/05/2021 11:00:00","23/06/2021 15:53:47","S925-WHI-NEC-CHA-024-079-550","104","104"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","S925-WHI-NEC-CHA-024-079-550","51","51"
"PO220119-22/001CHR","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","S925-WHI-NEC-CHA-024-079-550","151","151"
"PO211015-21/010CHR","PARTIAL","15/10/2021 11:00:00","15/10/2021 11:00:00","S925-WHI-NEC-CHA-024-079-550","53","53"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-RIN-TOE-005","100","100"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-WHI-NEC-PEN-015","150","150"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-027-055-450","103","103"
"PO210729-21/008CHR Part 3","DELIVERED","29/07/2021 09:00:00","07/12/2021 16:17:06","BIA-BRP-CHAIN-059-050-700","52","52"
"PO210729-21/004BC","DELIVERED","29/07/2021 15:00:00","18/08/2021 11:12:40","S925-BC-4013-PIN-3H","106","106"
"PO220119-22/001BC","DELIVERED","19/01/2022 17:00:00","08/03/2022 14:14:18","S925-BC-4013-PIN-3H","220","220"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","BIA-S925-CHAIN-051-250-500","513","513"
"PO220119-22/001GS","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","BIA-S925-CHAIN-051-250-500","708","708"
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","BIA-S925-CHAIN-051-250-500","510","510"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-035","200","200"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-012-100-600","501","501"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-012-100-600","300","300"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-012-100-600","756","756"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-043","200","200"
"PO210506-21/006PAV","DELIVERED","06/05/2021 13:00:00","20/07/2021 09:45:03","S925-WHI-EAR-CUFF-008","200","200"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-028-030-500","101","101"
"PO220425-22/007CHR","OPEN","26/04/2022 09:45:05","26/04/2022 09:45:05","S925-WHI-NEC-CHA-028-030-500","100","0"
"PO210915-21/001VIE","DELIVERED","15/09/2021 09:00:00","23/12/2021 12:40:37","G9K-YEL-NEC-CHA-001-008-360","100","100"
"PO210729-21/012GS-Part 3","DELIVERED","29/07/2021 09:00:00","18/11/2021 14:24:34","BIA-S925-CHAIN-043-200-550","208","208"
"PO220119-22/001GS","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","BIA-S925-CHAIN-043-200-550","1046","1046"
"PO211210-21/017GS","DELIVERED","10/12/2021 15:00:00","10/03/2022 15:37:07","BIA-S925-CHAIN-043-200-550","220","220"
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","BIA-S925-CHAIN-043-200-550","401","401"
"PO210716-21/011GS-Part 2","DELIVERED","16/07/2021 11:00:00","04/10/2021 14:57:00","BIA-S925-CHAIN-043-200-550","315","315"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-CHAIN-008-030-360","51","51"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-035-P","20","20"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-023","200","200"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-SWA-010-001","200","200"
"PO220217-22/002GS","PARTIAL","17/02/2022 17:11:39","17/02/2022 17:11:16","S925-WHI-PEN-LET-001-T","50","50"
"PO210729-21/012GS-Part 3","DELIVERED","29/07/2021 09:00:00","18/11/2021 14:24:34","S925-WHI-PEN-LET-001-T","54","54"
"PO210510-21/006GS","DELIVERED","10/05/2021 08:00:00","29/06/2021 15:34:24","S925-WHI-PEN-LET-001-T","50","50"
"PO220511-22/004GS","OPEN","12/05/2022 13:09:16","12/05/2022 13:09:16","S925-WHI-PEN-LET-001-T","50","0"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-204","150","150"
"PO220217-22/002BC","DELIVERED","17/02/2022 17:00:39","29/03/2022 12:29:14","S925-BC-1764-PEN-6G","186","186"
"PO211015-21/005BC","DELIVERED","15/10/2021 12:00:00","11/11/2021 13:49:17","S925-BC-1764-PEN-6G","62","62"
"PO210716-21/003BC","DELIVERED","16/07/2021 15:00:00","12/08/2021 15:33:50","S925-BC-1764-PEN-6G","164","164"
"PO220119-22/001BC","DELIVERED","19/01/2022 17:00:00","08/03/2022 14:14:18","S925-BC-1764-PEN-6G","138","138"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-YEL-BRA-CHA-056-200","150","150"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-025-J","25","25"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-PEN-LOC-009","100","100"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-035-S","20","20"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-EAR-DROP-SWA-001-204","288","288"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-028","200","200"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-EAR-CUFF-006","200","200"
"PO220223-22/001ADD","OPEN","22/02/2022 17:00:00","23/02/2022 17:00:00","G9K-YEL-PEN-CROS-010","50","0"
"PO210928-21/001ADD","DELIVERED","28/09/2021 11:00:00","23/12/2021 14:16:42","G9K-YEL-EAR-STUD-GEM-CZ-001-003","50","50"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-029-044-450","97","97"
"PO220425-22/007CHR","OPEN","26/04/2022 09:45:05","26/04/2022 09:45:05","S925-WHI-NEC-CHA-029-044-450","50","0"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-PEN-LEAF-001","50","50"
"PO220412-22/007PAV","OPEN","12/04/2022 10:16:30","12/04/2022 10:16:30","S925-WHI-PEN-LEAF-001","50","0"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-PEN-LEAF-001","50","50"
"PO210412-21/004GS","DELIVERED","12/04/2021 13:00:00","07/06/2021 10:18:03","S925-MUL-BRA-LAY-002-200","108","108"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-028-045-500","100","100"
"PO210928-21/001ADD","DELIVERED","28/09/2021 11:00:00","23/12/2021 14:16:42","G9K-YEL-EAR-STUD-GEM-CZ-001-006","50","50"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-029-030-450","69","69"
"PO220425-22/007CHR","OPEN","26/04/2022 09:45:05","26/04/2022 09:45:05","S925-WHI-NEC-CHA-029-030-450","50","0"
"PO210921-21/009CHR-Part 2","DELIVERED","21/09/2021 14:00:00","17/12/2021 15:54:45","S925-WHI-NEC-CHA-029-030-450","31","31"
"PO210917-21/003FAN","DELIVERED","17/09/2021 13:00:00","16/12/2021 14:54:13","S925-WHI-NEC-PEN-009","100","100"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-YEL-EAR-STUD-030","150","150"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","PAV-S925-HOOP-BALI-002-020","100","100"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","PAV-S925-HOOP-BALI-002-020","50","50"
"PO220217-22/003PAV","DELIVERED","17/02/2022 17:12:05","05/05/2022 10:54:39","PAV-S925-HOOP-BALI-002-020","100","100"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","PAV-S925-HOOP-BALI-002-020","400","400"
"PO210510-21/007PAV","DELIVERED","10/05/2021 12:00:00","09/07/2021 15:52:27","S925-WHI-EAR-CUFF-002","200","200"
"PO210423-21/004PAV","DELIVERED","23/04/2021 15:00:00","10/06/2021 12:36:19","S925-WHI-EAR-CUFF-002","200","200"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-CHAIN-041-220-250","402","402"
"PO211210-21/003BP","DELIVERED","10/12/2021 16:00:00","25/02/2022 12:17:28","G9K-YEL-BRA-CHA-001-190","100","100"
"PO210729-21/002BP","DELIVERED","29/07/2021 09:00:00","25/10/2021 09:44:14","G9K-YEL-BRA-CHA-001-190","53","53"
"PO210915-21/001VIE","DELIVERED","15/09/2021 09:00:00","23/12/2021 12:40:37","G9K-YEL-NEC-CHA-008-005-400","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-PEN-COIN-002","50","50"
"PO220217-22/003PAV","DELIVERED","17/02/2022 17:12:05","05/05/2022 10:54:39","S925-WHI-PEN-COIN-002","50","50"
"PO210423-21/004PAV","DELIVERED","23/04/2021 15:00:00","10/06/2021 12:36:19","S925-WHI-EAR-CUFF-003","200","200"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-EAR-CUFF-003","50","50"
"PO210510-21/007PAV","DELIVERED","10/05/2021 12:00:00","09/07/2021 15:52:27","S925-WHI-EAR-CUFF-003","200","200"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-YEL-NEC-CHA-029-030-600","102","102"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","S925-WHI-EAR-STUD-019","50","50"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-EAR-STUD-019","50","50"
"PO220119-22/001PAV","DELIVERED","19/01/2022 17:00:00","29/03/2022 14:43:00","S925-WHI-EAR-STUD-019","200","200"
"PO210622-21/011PAV","DELIVERED","22/06/2021 10:00:00","04/08/2021 14:50:12","S925-WHI-EAR-STUD-019","100","100"
"PO210510-21/006GS","DELIVERED","10/05/2021 08:00:00","29/06/2021 15:34:24","GS-S925-HOOP-055","103","103"
"PO211210-21/019PAV","DELIVERED","10/12/2021 16:00:00","04/03/2022 09:54:46","MS-S925-LOC-001","100","100"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","MS-S925-LOC-001","500","500"
"PO220119-22/001PAV","DELIVERED","19/01/2022 17:00:00","29/03/2022 14:43:00","MS-S925-LOC-001","400","400"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","MS-S925-LOC-001","200","200"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","MS-S925-LOC-001","100","100"
"PO220317-22/005PAV","OPEN","18/03/2022 09:47:24","18/03/2022 09:47:24","MS-S925-LOC-001","100","0"
"PO220217-22/003PAV","DELIVERED","17/02/2022 17:12:05","05/05/2022 10:54:39","MS-S925-LOC-001","100","100"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","S925-ROS-BRA-CHA-042-180","51","51"
"PO211027-21/004FAN","DELIVERED","27/10/2021 13:00:00","11/02/2022 12:21:03","S925-YEL-EAR-STUD-029","150","150"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-024-190-200","251","251"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-024-190-200","250","250"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-024-190-200","100","0"
"PO211210-21/014BIA","DELIVERED","10/12/2021 15:00:00","14/03/2022 16:49:32","BIA-S925-CHAIN-024-190-200","254","254"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-024-190-200","203","203"
"PO(20/04/2021)","DELIVERED","20/04/2021 13:22:47","20/04/2021 13:38:45","S925-WHI-PEN-LET-001-G","50","50"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-040-I","5","5"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-020-200-700","350","350"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-020-200-700","150","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-020-200-700","151","151"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-020-200-700","150","0"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-EAR-CEL-004","100","100"
"PO211111-21/018PAV","DELIVERED","11/11/2021 15:00:00","04/02/2022 09:50:34","S925-WHI-EAR-CEL-004","100","100"
"PO-29/01/2021","DELIVERED","04/02/2021 15:27:38","04/02/2021 15:45:40","BIA-GP-CHAIN-060-150-500","95","95"
"PO-29/01/2021","DELIVERED","04/02/2021 15:27:38","04/02/2021 15:45:40","BIA-GP-CHAIN-060-150-500","311","311"
"PO220119-22/001CHR","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","BIA-GP-CHAIN-060-150-500","300","300"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","BIA-GP-CHAIN-060-150-500","102","102"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-SWA-009-001","200","200"
"PO210921-21/009CHR","DELIVERED","21/09/2021 11:00:00","04/05/2022 10:39:55","S925-WHI-NEC-CHA-029-036-600","49","49"
"PO220425-22/007CHR","OPEN","26/04/2022 09:45:05","26/04/2022 09:45:05","S925-WHI-NEC-CHA-029-036-600","100","0"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-YEL-EAR-STUD-024","200","200"
"PO210609-21/008GS Part 1","DELIVERED","09/06/2021 15:00:00","23/07/2021 15:10:21","S925-WHI-PEN-LET-001-D","55","55"
"PO220119-22/001GS","PARTIAL","19/01/2022 17:00:00","19/01/2022 17:00:00","S925-WHI-PEN-LET-001-D","104","104"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-EAR-STUD-015","50","50"
"PO210915-21/001VIE","DELIVERED","15/09/2021 09:00:00","23/12/2021 12:40:37","G9K-YEL-NEC-CHA-001-008-450","100","100"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-008-060-200","100","0"
"PO210927-21/001SAR","DELIVERED","27/09/2021 10:00:00","04/02/2022 09:53:17","S925-WHI-RIN-GEM-002-SAP","100","100"
"PO211105-21/017PAV","DELIVERED","05/11/2021 12:00:00","04/02/2022 09:51:27","S925-WHI-NEC-PEN-CZ-001-205","150","150"
"PO220119-22/001CS","DELIVERED","19/01/2022 17:00:00","07/03/2022 12:39:51","CS-9K-HOOP-020","102","102"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-EAR-STUD-039","200","200"
"PO220119-22/001BC","DELIVERED","19/01/2022 17:00:00","08/03/2022 14:14:18","S925-BC-5940-EAR-3H","585","585"
"PO210729-21/004BC","DELIVERED","29/07/2021 15:00:00","18/08/2021 11:12:40","S925-BC-5940-EAR-3H","130","130"
"PO210517-21/002BC","DELIVERED","17/05/2021 15:00:00","07/06/2021 10:18:52","S925-BC-5940-EAR-3H","332","332"
"PO220217-22/002BC","DELIVERED","17/02/2022 17:00:39","29/03/2022 12:29:14","S925-BC-5940-EAR-3H","121","121"
"PO210921-21/001CHI","DELIVERED","21/09/2021 10:00:00","04/02/2022 09:49:27","G9K-YEL-RIN-WED-001-035-O","20","20"
"PO210622-21/011PAV","DELIVERED","22/06/2021 10:00:00","04/08/2021 14:50:12","S925-WHI-EAR-DROP-007","50","50"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-019-110-180","102","102"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-019-110-180","200","0"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-S925-CHAIN-019-110-180","454","454"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-GP-CHAIN-015-120-500","50","0"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-GP-CHAIN-015-120-500","100","0"
"PO220119-22/002BIA","DELIVERED","19/01/2022 17:00:00","31/03/2022 12:45:05","BIA-GP-CHAIN-015-120-500","102","102"
"PO220106-22/001BIA","PARTIAL","06/01/2022 10:00:00","06/01/2022 10:00:00","BIA-GP-CHAIN-015-120-500","53","53"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-GP-CHAIN-015-120-500","103","103"
"PO211007-21/015PAV","DELIVERED","07/10/2021 11:00:00","11/02/2022 15:35:46","S925-WHI-PEN-COIN-HAM-001","200","200"
"PO220119-22/002BIA","DELIVERED","19/01/2022 17:00:00","31/03/2022 12:45:05","BIA-S925-CHAIN-031-230-500","303","303"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-031-230-500","101","101"
"PO220217-22/004BIA","PARTIAL","17/02/2022 17:03:31","17/02/2022 17:03:31","BIA-S925-CHAIN-031-230-500","200","0"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-004-012","187","187"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-RIN-CEL-006-S","50","50"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-RIN-CEL-006-S","50","50"
"PO220317-22/005PAV","OPEN","18/03/2022 09:47:24","18/03/2022 09:47:24","S925-WHI-RIN-CEL-006-S","50","0"
"PO210716-21/012PAV","DELIVERED","16/07/2021 10:00:00","01/10/2021 14:51:07","S925-WHI-RIN-CEL-006-S","100","100"
"PO210423-21/004PAV","DELIVERED","23/04/2021 15:00:00","10/06/2021 12:36:19","S925-WHI-RIN-CEL-006-S","100","100"
"PO210930-21/004MAR","DELIVERED","30/09/2021 11:00:00","23/12/2021 14:41:23","S925-WHI-EAR-HOOP-PEN-009-012","199","199"
"PO210921-21/003CAV","DELIVERED","21/09/2021 15:00:00","29/12/2021 15:22:14","G9K-YEL-PEN-HART-001","114","114"
"PO220317-22/005PAV","OPEN","18/03/2022 09:47:24","18/03/2022 09:47:24","S925-WHI-PEN-STAR-001","50","0"
"PO210921-21/014PAV","DELIVERED","21/09/2021 14:00:00","26/11/2021 13:58:11","S925-WHI-PEN-STAR-001","50","50"
"PO210729-21/013PAV","DELIVERED","29/07/2021 09:00:00","27/09/2021 08:34:55","S925-WHI-PEN-STAR-001","50","50"
"PO220203-22/002PAV","DELIVERED","03/02/2022 10:00:00","05/05/2022 10:52:02","S925-WHI-PEN-STAR-001","50","50"
"PO220203-22/003BIA","PARTIAL","03/02/2022 13:00:00","03/02/2022 13:00:00","BIA-S925-CHAIN-024-190-190","302","302"
"PO220511-22/010BIA","OPEN","12/05/2022 12:56:06","12/05/2022 12:56:06","BIA-S925-CHAIN-024-190-190","250","0"
